2019-09-25 23:57:35.195 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sdk/service.go:464: SPV service started...
2019-09-25 23:57:35.196 [INF] ADMR /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA/p2p/addrmgr/addrmanager.go:424: Loaded 0 addresses from file 'elastos_eth/peers.json'
2019-09-25 23:57:35.218 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:244: New valid peer 172.20.0.2:20338 (outbound)
2019-09-25 23:57:35.218 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:197: Syncing to block height 469 from peer 172.20.0.2:20338
2019-09-25 23:57:35.228 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 87a712e89cd410126a1002b2646eed7c2d1cb78fea14e72b45f43dc84c16a103 at height 1
2019-09-25 23:57:35.228 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6633d49efedaf60091cd8f78df1891493bbe9e973b8b89d21e878a7ba6537680 at height 2
2019-09-25 23:57:35.228 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 25ce9156877002dffd29e00d3d415d434cd648a0e77ee08892bbd7ca10028eda at height 3
2019-09-25 23:57:35.229 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block a78b2d19fbd9e9ec6fbeea505e495be6a7de0ece3292550f67a886983e6ab058 at height 4
2019-09-25 23:57:35.229 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:244: New valid peer 172.20.0.4:20338 (outbound)
2019-09-25 23:57:35.229 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block e29d49312caf635c59692b7fc8a8978ae9c08fae9d0f6e5922fa2d63fd80e0d7 at height 5
2019-09-25 23:57:35.229 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6d127bede4571968873cf20176e0b534b452721daa86284592d09e0ec7674868 at height 6
2019-09-25 23:57:35.229 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 1ed6201f1220d03ac9613f7508b1101b3631df0152804764c538ed69446961ee at height 7
2019-09-25 23:57:35.230 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 1ccea118dea766fd2e571b4a02799a006424c9be6de53086d7d9ab3bedf0dea8 at height 8
2019-09-25 23:57:35.230 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block c37d6c76fcc81aeb97640fbc2bcc0cf267fb302c65ace8deae888e999ec434e0 at height 9
2019-09-25 23:57:35.234 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 3e461f7d3ee83934f35a7042b0e5010fde3d4b3a7d1b2ab0e476e3c66368c426 at height 10
2019-09-25 23:57:35.235 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 0bb9f23a3bc0e4bb533c32d51d37fabfc933128905bf7646916fb6514f28321b at height 11
2019-09-25 23:57:35.235 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 699eb0e0c7caacc68001cf1a7301d087628c26b16f1ec1af260505aec90f7869 at height 12
2019-09-25 23:57:35.236 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 60bb66c570a905b406f6d3c30597ca29baf81febf1a7602a33d733fde9217139 at height 13
2019-09-25 23:57:35.236 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block fd5e012b02541eb41e267aa02f630e2fd014b554378f7e2e593a5f13f582fa8f at height 14
2019-09-25 23:57:35.236 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block d44b5e3928c303d392d8bc67316958e27c18b1c4889e278edd37644383be6ee8 at height 15
2019-09-25 23:57:35.237 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 53ba343b698198df68d8599cc1d98b950beafe323b4a5179a7e665a2261d98b5 at height 16
2019-09-25 23:57:35.237 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 2531ab705e5c398fc2ad5dac26680110dce0ac1cce6ba4f8c710ced814f5cee2 at height 17
