2019-05-10 00:25:15.378 [INF] ELAD /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/main.go:58: Node version: 
2019-05-10 00:25:15.378 [INF] ELAD /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/main.go:59: go version go1.11.5 linux/amd64
2019-05-10 00:25:15.378 [INF] ELAD /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/main.go:64: 1. BlockChain init
2019-05-10 00:25:15.520 [INF] ELAD /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/main.go:73: 2. SPV module init
2019-05-10 00:25:15.723 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sdk/service.go:464: SPV service started...
2019-05-10 00:25:15.741 [INF] ELAD /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/main.go:128: 3. Start the P2P networks
2019-05-10 00:25:15.750 [INF] ELAD /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/main.go:143: 4. --Initialize pow service
2019-05-10 00:25:15.750 [INF] ELAD /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/main.go:164: 5. --Start the RPC service
2019-05-10 00:25:21.130 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:244: New valid peer 13.57.150.176:20338 (outbound)
2019-05-10 00:25:21.130 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:197: Syncing to block height 374744 from peer 13.57.150.176:20338
2019-05-10 00:25:21.130 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/netsync/manager.go:223: New valid peer 13.57.130.224:20608 (outbound)
2019-05-10 00:25:21.130 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/netsync/manager.go:192: Syncing to block height 171010 from peer 13.57.130.224:20608
2019-05-10 00:25:21.135 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/netsync/manager.go:223: New valid peer 35.177.44.162:20608 (outbound)
2019-05-10 00:25:21.136 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/netsync/manager.go:223: New valid peer 35.177.146.116:20608 (outbound)
2019-05-10 00:25:21.341 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:244: New valid peer 52.74.188.35:20338 (outbound)
2019-05-10 00:25:21.360 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:244: New valid peer 13.229.160.170:20338 (outbound)
2019-05-10 00:25:21.361 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:280: Lost peer 13.229.160.170:20338 (outbound)
2019-05-10 00:25:21.659 [WRN] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:388: Disconnecting from peer 13.57.150.176:20338 (outbound) because he sent us too many bad blocks
2019-05-10 00:25:21.661 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:280: Lost peer 13.57.150.176:20338 (outbound)
2019-05-10 00:25:21.661 [INF] SPVS /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:197: Syncing to block height 374744 from peer 52.74.188.35:20338
2019-05-10 00:25:21.732 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:931: FORK: Block d3c00a825218b05257084cb32a39c4328ef3425cffc00e6fd6d5fdbfbd03b9fa forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56, but does not cause a reorganize
2019-05-10 00:25:21.761 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 79458613f71a2ae1de7fe4788f8656db371e858acdaac19726472745a86ba86f extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.761 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 731c32d22d84b99744e60a21d29d8c3ffdd992223b7b0b9b756259def3d7a206 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.762 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block a1b89bec966dc021d26b70626b601470b0000f7fe528eb9e0405332314b75d6a extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.762 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block fc7c98ec5f7b79c4e9a78b2cb768b6b5c89b30021614686b0628225dcc774986 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.763 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block ca519ac4119c3e1496133af5aeab04911f6f1abd3f2244637636c90b4a54fe11 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.763 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 2c093bad4400f3d4fe3758b928fb44497802cb878ed6a1b997b853549eba3d0d extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.764 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block d71a314331ece1bf35f9ac267c63b2faef4ec968c75bef700c070c0d1f1bce13 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.765 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 51c93b53beb1b051c37d1dfc507e4b24eb4139b36a54453fd51886b4a1baddc5 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.765 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 49c61aadc622c46325e28ca7bfc599dcdf9b3059b38fa291317af1dcc39a024d extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:21.768 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 1d5474bc7eed03eaae9104fcefcb3f553852545110026a129cb15591bb7b882e extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
