2019-04-23 20:06:12.166 [INF] ELAD /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/main.go:57: Node version: v0.1.1
2019-04-23 20:06:12.166 [INF] ELAD /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/main.go:58: go version go1.11.5 linux/amd64
2019-04-23 20:06:12.166 [INF] ELAD /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/main.go:68: 1. BlockChain init
2019-04-23 20:06:12.277 [INF] ELAD /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/main.go:77: 2. SPV module init
2019-04-23 20:06:12.351 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sdk/service.go:462: SPV service started...
2019-04-23 20:06:12.352 [INF] ELAD /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/main.go:143: 3. Start the P2P networks
2019-04-23 20:06:12.354 [INF] ELAD /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/main.go:152: 4. --Initialize pow service
2019-04-23 20:06:12.354 [INF] ELAD /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/main.go:168: Start POW Services
2019-04-23 20:06:12.354 [INF] ELAD /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/main.go:172: 5. --Start the RPC service
2019-04-23 20:06:12.355 [INF] MINR /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SideChain/pow/pow.go:298: <================POW Mining==============>

2019-04-23 20:06:12.355 [INF] MINR /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SideChain/pow/pow.go:422: difficulty:  520095999
2019-04-23 20:06:12.415 [INF] STAT: -> 0 []
2019-04-23 20:06:12.416 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:238: New valid peer 127.0.0.1:10315 (outbound)
2019-04-23 20:06:12.416 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:192: Syncing to block height 439 from peer 127.0.0.1:10315
2019-04-23 20:06:12.453 [INF] SYNC /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SideChain/netsync/manager.go:218: New valid peer 127.0.0.1:10045 (outbound)
2019-04-23 20:06:12.464 [INF] SYNC /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SideChain/netsync/manager.go:187: Syncing to block height 0 from peer 127.0.0.1:10045
2019-04-23 20:06:12.465 [INF] SYNC /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SideChain/netsync/manager.go:218: New valid peer 127.0.0.1:10145 (outbound)
2019-04-23 20:06:12.465 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:238: New valid peer 127.0.0.1:10215 (outbound)
2019-04-23 20:06:12.465 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:238: New valid peer 127.0.0.1:10415 (outbound)
2019-04-23 20:06:12.465 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:238: New valid peer 127.0.0.1:10115 (outbound)
2019-04-23 20:06:12.465 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:238: New valid peer 127.0.0.1:10015 (outbound)
2019-04-23 20:06:12.476 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block dd9abfb82670cf9f9d9ff09ec2fb1fd8ae5df38c70dec374b616853bd725e72d at height 1
2019-04-23 20:06:12.476 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 6c00d37d637667b9427c2e45ef7b63bc78cf9ea57e5030724401509d94fdae00 at height 2
2019-04-23 20:06:12.477 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 5e86db9387670829650cb701165b1e498226989a77f02e4295155dca8762a6af at height 3
2019-04-23 20:06:12.477 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block f6d115ab5e72f6b2b18b1c24d9c560589c10efdcdd1496ce63012f0f7667ff9c at height 4
2019-04-23 20:06:12.477 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block ab48509905793dd18cc89582ebac80b017e28035122725ddfe726df9e35c49b0 at height 5
2019-04-23 20:06:12.477 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block fcacf11c61ffa55bb9c75857d04150b0ad1aeea4e6fcc95c24840b4599a90b0a at height 6
2019-04-23 20:06:12.477 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 9c9df0357244eed39621e496007c26f178266e1d303f806c0014de2de68d418e at height 7
2019-04-23 20:06:12.487 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 750c2b6b5a9c629831a38d3a3cca03bce396f255cf49bc7db7c4c1ada6e37ffd at height 8
2019-04-23 20:06:12.488 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block e1af332e973e0487237cff95ca227b018a435acd62f9d7d6dae1dae14c5b8bac at height 9
2019-04-23 20:06:12.488 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 730b171d1c783f89a0d9836fe2882b6062b13611695c482a4d128034d1354fd4 at height 10
2019-04-23 20:06:12.488 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block b120d46e2bb86d6270bd07394fcc10ef3884d036252e24b3d3d947bba45ba763 at height 11
2019-04-23 20:06:12.488 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 1e9ca0265cba046ef5f0b51a3be0fd51661b8505211d13c58dd1481091f21a84 at height 12
2019-04-23 20:06:12.488 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block e0aa80d1a57ebb118aeb208459d493d1a99dabbd1bd90eef94278c9937e5f454 at height 13
2019-04-23 20:06:12.488 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 31b9ca94843ad44a9a38d83f962314db19d55ca61a0a9a5f8c2168c7424930e5 at height 14
